Projeto;101;;;;
Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"como fazer calda de fumo para plantas";"10";"0.00";"0.01";"88000";"0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.99,0.14,0.14,0.14,0.14"
"como curtir fumo para mascar";"10";"0.00";"0.00";"0";"0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.99,0.99,0.50,0.99,0.50"
"como fazer remedio com fumo para plantas";"10";"0.00";"0.02";"600000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99"
"depoimentos de quem parou de fumar com bup";"10";"0.64";"0.27";"0";"0.11,0.22,0.11,0.22,0.11,0.99,0.11,0.11,0.11,0.78,0.11,0.44"
"como parar de fumar urgente";"10";"0.72";"0.41";"1350000";"0.14,0.57,0.14,0.71,0.14,0.14,0.14,0.71,0.14,0.43,0.29,0.99"
"como fazer um cachimbo para fumar maconha";"10";"0.24";"0.10";"138000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99"
"como parar de fumar cigarro naturalmente";"10";"1.32";"0.31";"313000";"0.99,0.99,0.75,0.25,0.25,0.50,0.25,0.25,0.25,0.50,0.25,0.25"
"como ajudar uma pessoa a parar de fumar maconha";"10";"0.00";"0.03";"91000";"0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.99,0.33,0.33,0.67,0.33"
"como preparar calda de fumo para plantas";"10";"0.00";"0.04";"61000";"0.11,0.11,0.11,0.11,0.33,0.11,0.78,0.11,0.99,0.11,0.44,0.11"
"como preparar fumo para plantas";"10";"0.00";"0.23";"241000";"0.11,0.22,0.11,0.22,0.11,0.99,0.11,0.11,0.11,0.78,0.11,0.33"
"como parar de fumar cannabis";"10";"0.00";"0.09";"305000";"0.11,0.11,0.11,0.11,0.33,0.11,0.56,0.11,0.56,0.11,0.99,0.11"
"como preparar tabaco para fumar";"10";"0.00";"0.00";"889000";"0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.99,0.50,0.25,0.50,0.25"
"com parar de fumar";"10";"0.76";"0.40";"11200000";"0.11,0.44,0.11,0.56,0.11,0.11,0.11,0.56,0.11,0.22,0.22,0.99"
"receita para matar pulgão com fumo";"10";"0.00";"0.03";"9000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.99"
