Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"o que fazer para largar o cigarro";"20";"0.28";"0.23";"204000";"0.20,0.20,0.20,0.20,1.00,0.20,0.60,0.40,0.40,0.20,0.80,0.20"
"motivação para parar de fumar";"20";"0.00";"0.11";"1180000";"0.22,1.00,0.11,0.22,0.11,0.11,0.11,0.33,0.11,0.44,0.56,0.44"
"fumar de vez em quando";"20";"0.00";"0.00";"73300000";"0.20,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.20"
"www fumar com br";"10";"0.00";"0.02";"18800000";"0.00,0.25,0.00,0.25,0.00,0.25,0.00,1.00,0.25,0.25,0.25,0.25"
"nao fume cigarro";"10";"0.00";"0.00";"402000";"0.80,1.00,0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20"
"dicas para deixar de fumar naturalmente";"10";"0.00";"0.22";"0";"1.00,0.50,0.50,1.00,0.50,0.50,0.50,1.00,0.50,0.50,0.50,1.00"
"como é que se fuma";"10";"0.00";"0.07";"95700000";"0.11,0.11,0.11,0.11,0.22,0.00,0.11,1.00,0.11,0.11,0.11,0.11"
"quero fumar";"10";"1.92";"0.10";"24600000";"0.14,0.14,0.14,0.14,1.00,0.14,0.43,0.29,0.57,0.14,0.29,0.14"
"fumar em casa";"10";"0.00";"0.05";"43000000";"0.80,1.00,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"cigarro foto";"10";"0.00";"0.04";"13500000";"1.00,1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25,0.25"
"que fumar";"10";"0.00";"0.00";"162000000";"0.14,0.14,0.14,0.14,0.43,0.14,0.71,0.14,0.71,0.14,1.00,0.14"
"como parar de fumar remedio caseiro";"10";"0.88";"0.14";"53000";"0.14,0.43,0.14,0.71,0.14,0.14,0.14,0.57,0.14,0.43,0.43,1.00"
"como parar de fumar fumando";"10";"0.32";"0.32";"8560000";"0.03,0.03,0.03,0.03,0.06,0.12,1.00,0.53,0.81,0.44,0.44,0.53"
"medicamento parar fumar";"10";"0.00";"0.00";"4180000";"0.60,1.00,0.80,0.20,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20"
"como fumar em casa";"10";"0.00";"0.01";"74400000";"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.75,0.25,0.75,0.25"
"para fumar";"10";"1.92";"0.05";"159000000";"0.03,1.00,0.03,0.01,0.01,0.02,0.01,0.12,0.01,0.02,0.19,0.24"
"o método simples para deixar de fumar";"10";"0.36";"0.51";"5510000";"0.25,0.25,1.00,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.25"
"dia de no fumar";"10";"0.00";"0.00";"84100000";"0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,0.67,0.00,0.00,0.00"
"não quero mais fumar";"10";"0.00";"0.00";"5550000";"0.50,0.50,0.50,1.00,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50"
"receita para parar de fumar cigarro";"10";"0.04";"0.29";"0";"0.20,0.40,0.20,0.80,0.00,0.00,0.20,0.20,0.20,1.00,0.20,0.60"
"como ajudar uma pessoa a parar de fumar";"10";"1.96";"0.10";"905000";"0.02,1.00,0.01,0.03,0.12,0.19,0.01,0.03,0.12,0.82,0.82,0.03"
"parando de fumar dia a dia";"10";"0.72";"0.13";"136000";"0.11,0.22,0.11,0.22,0.11,1.00,0.11,0.11,0.11,0.78,0.11,0.44"
"anti cigarro";"10";"1.56";"0.28";"8030000";"0.60,1.00,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.20"
"remedio para inibir a vontade de fumar";"10";"2.24";"0.41";"0";"0.00,0.00,0.25,0.25,0.25,0.25,0.50,1.00,0.50,0.25,0.50,0.25"
"suco para parar de fumar";"10";"0.04";"0.22";"359000";"0.11,0.11,0.33,0.11,0.78,0.11,1.00,0.11,0.44,0.11,0.11,0.11"
"medicamentos para deixar de fumar";"10";"0.76";"1.00";"3430000";"1.00,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50"
"tratamento parar fumar";"10";"0.00";"0.19";"19100000";"0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.67,0.33"
"o que fazer quando sentir vontade de fumar";"10";"0.00";"0.14";"3780000";"0.29,0.14,0.29,1.00,0.14,0.43,0.14,0.14,0.14,0.29,0.14,0.71"
"coisa de fumar";"10";"0.96";"0.08";"12600000";"0.12,0.35,0.12,0.04,0.04,0.08,0.04,0.04,0.04,0.08,0.04,1.00"
"hora de fumar";"10";"0.00";"0.01";"25300000";"0.00,0.00,0.29,1.00,0.14,0.43,0.14,0.14,0.14,0.29,0.14,0.71"
"remédio caseiro para largar de fumar";"10";"0.68";"0.38";"0";"0.20,0.20,0.20,0.80,0.20,1.00,0.20,0.20,0.20,1.00,0.20,0.40"
"vontade de fumar o que fazer";"10";"0.04";"0.18";"2650000";"1.00,0.80,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
"por voce eu paro de fumar eu paro de beber";"10";"0.00";"0.00";"0";"0.29,0.14,0.29,1.00,0.14,0.29,0.14,0.00,0.14,0.43,0.14,0.57"
